,order_id,date,region,product,sales_rep,quantity,components,component_count,has_quantity_trend,trend_type,route_target,unit_price,revenue,customer_type
0,1849,2023-01-01,West,Headphones,David,2,speaker,1,False,none,simple_component_agent,1958.7968648829897,3917.5937297659793,Returning
1,1678,2023-01-01,East,Mobile,Eva,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27937.901824253164,55875.80364850633,New
2,1649,2023-01-01,East,Monitor,Bob,4,"panel, stand, cable",3,False,none,general_component_agent,15713.852842192779,62855.411368771114,Returning
3,1756,2023-01-01,West,Laptop,Charlie,2,"processor, ram, ssd, battery",4,False,none,general_component_agent,68046.64307198176,136093.28614396352,Returning
4,1992,2023-01-01,South,Mobile,Charlie,1,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31027.624951374797,31027.624951374797,New
5,1447,2023-01-01,West,Laptop,Alice,9,"processor, ram, ssd, battery",4,False,none,general_component_agent,66789.01518774472,601101.1366897025,New
6,1207,2023-01-02,South,Laptop,Bob,6,"processor, ram, ssd, battery",4,False,none,general_component_agent,64137.21488729342,384823.28932376055,Returning
7,1264,2023-01-02,East,Tablet,Bob,9,"display, battery",2,False,none,simple_component_agent,21970.327181951056,158186.35571004762,Returning
8,1064,2023-01-02,East,Headphones,Bob,8,speaker,1,False,none,simple_component_agent,1862.4806031722399,14899.844825377919,New
9,1896,2023-01-03,West,Tablet,Frank,10,"display, battery",2,False,none,simple_component_agent,21953.683975853924,175629.47180683143,Returning
10,1949,2023-01-04,West,Headphones,Bob,1,speaker,1,False,none,simple_component_agent,2190.9119730265793,2190.9119730265793,Returning
11,1497,2023-01-04,South,Laptop,Eva,4,"processor, ram, ssd, battery",4,False,none,general_component_agent,74113.45345471257,296453.81381885026,Returning
12,1326,2023-01-04,South,Monitor,Charlie,7,"panel, stand, cable",3,False,none,general_component_agent,15478.268886245993,108347.88220372195,Returning
13,1969,2023-01-04,North,Laptop,Charlie,2,"processor, ram, ssd, battery",4,False,none,general_component_agent,71089.29870351519,142178.59740703038,New
14,1614,2023-01-05,West,Mobile,Bob,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,32196.60927226701,96589.82781680103,New
15,1416,2023-01-05,East,Monitor,David,8,"panel, stand, cable",3,False,none,general_component_agent,14368.318564858464,114946.54851886771,New
16,1721,2023-01-05,West,Tablet,Frank,8,"display, battery",2,False,none,simple_component_agent,19870.72484993951,127172.63903961287,New
17,1129,2023-01-05,South,Headphones,Frank,7,speaker,1,False,none,simple_component_agent,2047.755987746601,14334.291914226207,New
18,1843,2023-01-05,North,Monitor,Frank,4,"panel, stand, cable",3,False,none,general_component_agent,14733.571427608475,58934.2857104339,New
19,1965,2023-01-06,West,Mobile,Alice,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,29564.91872454161,59129.83744908322,Returning
20,1742,2023-01-06,South,Mobile,Eva,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,28981.708005012508,57963.416010025016,New
21,1335,2023-01-06,North,Laptop,Alice,6,"processor, ram, ssd, battery",4,False,none,general_component_agent,70899.24543358352,425395.47260150115,Returning
22,1935,2023-01-06,North,Headphones,Alice,5,speaker,1,False,none,simple_component_agent,2140.2298112060466,10701.149056030234,Returning
23,1895,2023-01-07,West,Tablet,David,8,"display, battery",2,False,none,simple_component_agent,18806.113512025255,120359.12647696164,Returning
24,1606,2023-01-07,East,Tablet,Eva,8,"display, battery",2,False,none,simple_component_agent,21737.732155013768,139121.48579208812,New
25,1829,2023-01-08,North,Laptop,Eva,6,"processor, ram, ssd, battery",4,False,none,general_component_agent,72647.22715247521,435883.3629148513,Returning
26,1688,2023-01-08,North,Mobile,Frank,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31939.639276080186,63879.27855216037,New
27,1876,2023-01-08,North,Tablet,Eva,10,"display, battery",2,False,none,simple_component_agent,20224.762770520047,161798.10216416037,Returning
28,1098,2023-01-09,West,Headphones,Eva,5,speaker,1,False,none,simple_component_agent,2111.8066805696258,10559.033402848128,Returning
29,1270,2023-01-09,West,Monitor,David,3,"panel, stand, cable",3,False,none,general_component_agent,13548.601192018401,40645.8035760552,New
30,1602,2023-01-09,West,Laptop,David,9,"processor, ram, ssd, battery",4,False,none,general_component_agent,74457.3259469135,670115.9335222214,Returning
31,1715,2023-01-10,North,Mobile,Charlie,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27240.8331545122,81722.4994635366,Returning
32,1485,2023-01-10,North,Laptop,Charlie,6,"processor, ram, ssd, battery",4,False,none,general_component_agent,75458.78726908007,452752.72361448046,Returning
33,1852,2023-01-12,East,Monitor,Bob,6,"panel, stand, cable",3,False,none,general_component_agent,16475.88824171593,98855.32945029557,Returning
34,1682,2023-01-12,West,Tablet,Eva,8,"display, battery",2,False,none,simple_component_agent,19176.269848707114,122728.12703172554,New
35,1519,2023-01-12,East,Mobile,Alice,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,28261.911337714766,56523.82267542953,Returning
36,1917,2023-01-13,South,Monitor,Charlie,5,"panel, stand, cable",3,False,none,general_component_agent,15796.090091574124,78980.45045787063,Returning
37,1379,2023-01-13,West,Mobile,Eva,4,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,28518.15804552152,114072.63218208608,New
38,1152,2023-01-13,North,Tablet,Eva,7,"display, battery",2,False,none,simple_component_agent,21462.249532688817,120188.59738305738,Returning
39,1555,2023-01-13,East,Monitor,Frank,2,"panel, stand, cable",3,False,none,general_component_agent,13808.52777647243,27617.05555294486,Returning
40,1051,2023-01-14,West,Tablet,Charlie,8,"display, battery",2,False,none,simple_component_agent,18503.820785517433,118424.45302731158,Returning
41,1676,2023-01-14,East,Headphones,David,1,speaker,1,False,none,simple_component_agent,2191.6606220402464,2191.6606220402464,Returning
42,1886,2023-01-14,West,Mobile,Eva,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31043.033389620028,93129.10016886008,New
43,1892,2023-01-14,West,Laptop,Frank,3,"processor, ram, ssd, battery",4,False,none,general_component_agent,74856.42114200535,224569.26342601603,Returning
44,1135,2023-01-15,East,Headphones,Charlie,9,speaker,1,False,none,simple_component_agent,1929.7317509406073,17367.585758465466,New
45,1093,2023-01-15,East,Laptop,Alice,3,"processor, ram, ssd, battery",4,False,none,general_component_agent,72470.77249328847,217412.31747986542,Returning
46,1904,2023-01-15,North,Tablet,David,9,"display, battery",2,False,none,simple_component_agent,20376.96730923439,146714.16462648762,Returning
47,1498,2023-01-16,East,Laptop,Eva,1,"processor, ram, ssd, battery",4,False,none,general_component_agent,71444.10168172127,71444.10168172127,Returning
48,1330,2023-01-17,South,Headphones,Eva,6,speaker,1,False,none,simple_component_agent,2073.012983815089,12438.077902890533,New
49,1353,2023-01-18,South,Monitor,Charlie,4,"panel, stand, cable",3,False,none,general_component_agent,15226.077519387298,60904.31007754919,Returning
50,1567,2023-01-19,North,Mobile,Bob,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,29574.374215816,88723.12264744799,Returning
51,1637,2023-01-19,South,Headphones,Frank,9,speaker,1,False,none,simple_component_agent,1910.3690777522188,17193.32169976997,New
52,1384,2023-01-20,South,Mobile,David,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31611.487985479213,94834.46395643764,New
53,1672,2023-01-20,East,Headphones,Eva,6,speaker,1,False,none,simple_component_agent,1890.5089720012747,11343.053832007648,New
54,1988,2023-01-20,West,Monitor,Eva,1,"panel, stand, cable",3,False,none,general_component_agent,15577.062918463242,15577.062918463242,New
55,1045,2023-01-21,East,Tablet,Alice,10,"display, battery",2,False,none,simple_component_agent,18933.331290597307,151466.65032477846,Returning
56,1007,2023-01-21,South,Tablet,David,8,"display, battery",2,False,none,simple_component_agent,20501.320679817814,131208.452350834,Returning
57,1847,2023-01-22,North,Mobile,Charlie,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31482.469602774177,94447.40880832254,Returning
58,1308,2023-01-22,South,Monitor,Charlie,8,"panel, stand, cable",3,False,none,general_component_agent,14156.141666719619,113249.13333375695,Returning
59,1026,2023-01-22,South,Tablet,David,8,"display, battery",2,False,none,simple_component_agent,18239.773203445235,116734.54850204951,New
60,1748,2023-01-23,North,Tablet,David,10,"display, battery",2,False,none,simple_component_agent,18523.894971976697,148191.15977581358,Returning
61,1483,2023-01-23,North,Tablet,Alice,7,"display, battery",2,False,none,simple_component_agent,20423.987869084103,114374.33206687098,Returning
62,1581,2023-01-25,North,Tablet,Charlie,8,"display, battery",2,False,none,simple_component_agent,21397.785624902946,136945.82799937887,Returning
63,1919,2023-01-25,East,Monitor,David,5,"panel, stand, cable",3,False,none,general_component_agent,13634.990463706274,68174.95231853137,Returning
64,1915,2023-01-25,East,Laptop,Bob,6,"processor, ram, ssd, battery",4,False,none,general_component_agent,73278.11762658304,439668.7057594983,New
65,1978,2023-01-26,West,Tablet,Frank,9,"display, battery",2,False,none,simple_component_agent,19365.27458380021,139429.9770033615,Returning
66,1873,2023-01-26,North,Laptop,Frank,5,"processor, ram, ssd, battery",4,False,none,general_component_agent,69699.39717887332,348496.9858943666,Returning
67,1376,2023-01-26,West,Laptop,Frank,9,"processor, ram, ssd, battery",4,False,none,general_component_agent,76004.03369783792,684036.3032805413,Returning
68,1317,2023-01-27,West,Mobile,Bob,1,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,28991.829028415075,28991.829028415075,New
69,1110,2023-01-28,West,Monitor,Bob,7,"panel, stand, cable",3,False,none,general_component_agent,14896.01080181846,104272.07561272923,New
70,1165,2023-01-28,East,Tablet,Charlie,9,"display, battery",2,False,none,simple_component_agent,18054.729659042725,129994.05354510763,Returning
71,1907,2023-01-28,South,Monitor,Frank,4,"panel, stand, cable",3,False,none,general_component_agent,13744.796160014515,54979.18464005806,Returning
72,1697,2023-01-28,South,Monitor,Bob,9,"panel, stand, cable",3,False,none,general_component_agent,14275.774773404353,128481.97296063918,Returning
73,1887,2023-01-28,East,Headphones,Charlie,5,speaker,1,False,none,simple_component_agent,1811.1408963284298,9055.70448164215,New
74,1150,2023-01-29,West,Tablet,Alice,8,"display, battery",2,False,none,simple_component_agent,20525.501304193003,131363.20834683522,Returning
75,1615,2023-01-29,South,Laptop,David,7,"processor, ram, ssd, battery",4,False,none,general_component_agent,68969.57699522271,482787.038966559,Returning
76,1802,2023-01-30,South,Mobile,Frank,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,30288.871216368138,60577.742432736275,Returning
77,1960,2023-01-31,North,Monitor,Bob,3,"panel, stand, cable",3,False,none,general_component_agent,14023.941557688988,42071.82467306696,New
78,1115,2023-02-02,West,Mobile,Eva,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,28775.5921766197,86326.7765298591,Returning
79,1508,2023-02-02,North,Laptop,Charlie,8,"processor, ram, ssd, battery",4,False,none,general_component_agent,72293.54264793816,578348.3411835053,Returning
80,1306,2023-02-02,West,Laptop,Eva,1,"processor, ram, ssd, battery",4,False,none,general_component_agent,76514.23813082562,76514.23813082562,New
81,1815,2023-02-03,South,Mobile,Alice,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27302.500641613256,81907.50192483977,New
82,1855,2023-02-03,West,Tablet,Charlie,9,"display, battery",2,False,none,simple_component_agent,21561.537283421065,155243.06844063167,Returning
83,1762,2023-02-03,North,Monitor,Bob,8,"panel, stand, cable",3,False,none,general_component_agent,15230.643603933626,121845.148831469,New
84,1928,2023-02-03,East,Tablet,Frank,7,"display, battery",2,False,none,simple_component_agent,20255.678267022493,56715.89914766299,Returning
85,1124,2023-02-04,North,Tablet,David,8,"display, battery",2,False,none,simple_component_agent,20001.114140831043,128007.13050131868,New
86,1524,2023-02-04,East,Monitor,David,4,"panel, stand, cable",3,False,none,general_component_agent,13708.182257712551,54832.729030850205,New
87,1059,2023-02-04,South,Headphones,David,8,speaker,1,False,none,simple_component_agent,1835.9507406944645,14687.605925555716,Returning
88,1327,2023-02-04,West,Monitor,Alice,3,"panel, stand, cable",3,False,none,general_component_agent,15302.736016977258,45908.208050931775,Returning
89,1709,2023-02-04,East,Laptop,Eva,9,"processor, ram, ssd, battery",4,False,none,general_component_agent,67773.42000009782,609960.7800008804,Returning
90,1963,2023-02-05,East,Monitor,David,2,"panel, stand, cable",3,False,none,general_component_agent,16251.804199733042,32503.608399466084,New
91,1382,2023-02-05,West,Monitor,Eva,2,"panel, stand, cable",3,False,none,general_component_agent,14719.771612078417,29439.543224156834,Returning
92,1151,2023-02-05,North,Mobile,David,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27859.688752215847,55719.37750443169,Returning
93,1546,2023-02-05,West,Laptop,Alice,4,"processor, ram, ssd, battery",4,False,none,general_component_agent,73006.06366902852,292024.25467611407,Returning
94,1338,2023-02-06,East,Laptop,David,8,"processor, ram, ssd, battery",4,False,none,general_component_agent,67106.94790017414,536855.5832013931,Returning
95,1552,2023-02-06,East,Monitor,Eva,9,"panel, stand, cable",3,False,none,general_component_agent,15076.410922067682,135687.69829860915,Returning
96,1268,2023-02-06,North,Mobile,Frank,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31186.996713031018,93560.99013909305,New
97,1311,2023-02-07,North,Mobile,Frank,4,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,32401.584667212428,129606.33866884971,Returning
98,1996,2023-02-07,West,Headphones,David,8,speaker,1,False,none,simple_component_agent,2116.8764779206704,16935.011823365363,Returning
99,1250,2023-02-08,South,Laptop,Bob,4,"processor, ram, ssd, battery",4,False,none,general_component_agent,72469.05495021814,289876.21980087255,New
100,1909,2023-02-08,East,Mobile,Eva,4,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31077.79909437086,124311.19637748344,Returning
101,1477,2023-02-08,North,Laptop,Alice,6,"processor, ram, ssd, battery",4,False,none,general_component_agent,76242.94501644923,457457.6700986954,Returning
102,1373,2023-02-08,North,Tablet,David,9,"display, battery",2,False,none,simple_component_agent,19183.296389986142,138119.73400790023,Returning
103,1638,2023-02-08,East,Monitor,Charlie,1,"panel, stand, cable",3,False,none,general_component_agent,13503.336282588562,13503.336282588562,Returning
104,1766,2023-02-08,East,Monitor,Alice,7,"panel, stand, cable",3,False,none,general_component_agent,14315.863678194597,100211.04574736218,Returning
105,1586,2023-02-08,South,Mobile,Bob,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,28307.348277760466,42461.0224166407,New
106,1961,2023-02-09,West,Laptop,Eva,9,"processor, ram, ssd, battery",4,False,none,general_component_agent,72265.68419159597,650391.1577243637,New
107,1091,2023-02-10,North,Tablet,Bob,8,"display, battery",2,False,none,simple_component_agent,20534.846399062117,131423.01695399755,New
108,1109,2023-02-10,West,Laptop,David,5,"processor, ram, ssd, battery",4,False,none,general_component_agent,71308.45935786613,356542.29678933066,Returning
109,1700,2023-02-10,East,Monitor,Frank,8,"panel, stand, cable",3,False,none,general_component_agent,13548.730329628363,108389.8426370269,New
110,1137,2023-02-11,North,Mobile,David,4,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31372.668326703886,125490.67330681554,Returning
111,1589,2023-02-11,East,Headphones,David,4,speaker,1,False,none,simple_component_agent,1929.4121649941967,7717.648659976787,Returning
112,1933,2023-02-11,South,Mobile,Eva,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,30990.33593403979,92971.00780211938,Returning
113,1821,2023-02-12,West,Headphones,Alice,1,speaker,1,False,none,simple_component_agent,2022.6313714008613,2022.6313714008613,New
114,1516,2023-02-12,South,Monitor,Bob,4,"panel, stand, cable",3,False,none,general_component_agent,14528.192776283722,58112.77110513489,New
115,1167,2023-02-13,North,Mobile,Bob,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27807.457602624647,55614.915205249294,New
116,1657,2023-02-13,South,Monitor,Bob,8,"panel, stand, cable",3,False,none,general_component_agent,13783.256692981444,110266.05354385155,Returning
117,1517,2023-02-13,West,Laptop,David,6,"processor, ram, ssd, battery",4,False,none,general_component_agent,74641.25666357114,447847.53998142685,New
118,1071,2023-02-13,North,Headphones,Alice,9,speaker,1,False,none,simple_component_agent,2167.3590168326236,19506.231151493612,Returning
119,1161,2023-02-14,East,Tablet,David,8,"display, battery",2,False,none,simple_component_agent,20599.1521870572,131834.5739971661,New
120,1708,2023-02-15,East,Tablet,David,9,"display, battery",2,False,none,simple_component_agent,18413.736459441934,132578.90250798195,New
121,1854,2023-02-15,South,Laptop,Eva,1,"processor, ram, ssd, battery",4,False,none,general_component_agent,68628.38103643537,68628.38103643537,Returning
122,1334,2023-02-15,West,Laptop,David,2,"processor, ram, ssd, battery",4,False,none,general_component_agent,73205.1488014722,146410.2976029444,Returning
123,1862,2023-02-16,West,Mobile,David,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31678.92530406041,63357.85060812082,New
124,1471,2023-02-16,East,Mobile,Charlie,4,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27709.311733746534,110837.24693498613,New
125,1422,2023-02-16,East,Mobile,Frank,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27000.184313072295,81000.55293921688,New
126,1991,2023-02-16,South,Headphones,Alice,9,speaker,1,False,none,simple_component_agent,2084.854818352242,18763.69336517018,Returning
127,1673,2023-02-16,West,Headphones,Eva,8,speaker,1,False,none,simple_component_agent,1942.6384703944823,15541.107763155858,Returning
128,1453,2023-02-17,South,Monitor,Alice,6,"panel, stand, cable",3,False,none,general_component_agent,14263.44399485478,85580.66396912868,New
129,1870,2023-02-17,West,Mobile,Bob,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27077.384818737155,81232.15445621146,New
130,1116,2023-02-17,South,Mobile,Frank,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,30241.796440569004,90725.38932170701,Returning
131,1329,2023-02-18,South,Mobile,David,4,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,32106.904412555894,128427.61765022358,New
132,1030,2023-02-18,East,Monitor,Alice,2,"panel, stand, cable",3,False,none,general_component_agent,16372.894938817764,32745.78987763553,Returning
133,1062,2023-02-19,North,Headphones,Alice,5,speaker,1,False,none,simple_component_agent,2026.2979802453156,10131.489901226578,Returning
134,1395,2023-02-20,West,Tablet,Alice,8,"display, battery",2,False,none,simple_component_agent,20057.845310959576,128370.20999014129,Returning
135,1805,2023-02-20,North,Headphones,Frank,6,speaker,1,False,none,simple_component_agent,1834.0225541956966,11004.135325174178,Returning
136,1841,2023-02-20,North,Mobile,Frank,4,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,30293.2368092556,121172.9472370224,Returning
137,1314,2023-02-20,North,Mobile,Alice,5,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,29279.874473792366,146399.37236896183,Returning
138,1037,2023-02-20,South,Monitor,Bob,2,"panel, stand, cable",3,False,none,general_component_agent,15321.40584265073,30642.81168530146,New
139,1757,2023-02-20,West,Monitor,Bob,3,"panel, stand, cable",3,False,none,general_component_agent,14666.179043629641,43998.53713088892,Returning
140,1198,2023-02-21,North,Tablet,Charlie,8,"display, battery",2,False,none,simple_component_agent,18961.196493801468,121351.6575603294,Returning
141,1143,2023-02-21,West,Tablet,Eva,8,"display, battery",2,False,none,simple_component_agent,18379.861100913506,117631.11104584644,New
142,1576,2023-02-21,North,Mobile,Eva,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,28889.510667533377,86668.53200260013,Returning
143,1749,2023-02-22,South,Laptop,Alice,1,"processor, ram, ssd, battery",4,False,none,general_component_agent,64353.027680028536,64353.027680028536,New
144,1413,2023-02-22,East,Monitor,Charlie,2,"panel, stand, cable",3,False,none,general_component_agent,14030.690852471953,28061.381704943906,Returning
145,1216,2023-02-22,East,Monitor,Alice,6,"panel, stand, cable",3,False,none,general_component_agent,16462.00847573864,98772.05085443184,New
146,1582,2023-02-22,West,Tablet,Eva,8,"display, battery",2,False,none,simple_component_agent,19776.414227626476,126569.05105680945,New
147,1817,2023-02-22,South,Mobile,Charlie,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,30191.230599030103,90573.69179709032,Returning
148,1086,2023-02-22,East,Monitor,Bob,3,"panel, stand, cable",3,False,none,general_component_agent,16120.855586211648,48362.566758634945,Returning
149,1055,2023-02-22,North,Monitor,Charlie,8,"panel, stand, cable",3,False,none,general_component_agent,16486.706701472063,131893.6536117765,Returning
150,1410,2023-02-23,South,Mobile,David,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,30496.28669606809,60992.57339213618,Returning
151,1210,2023-02-23,East,Headphones,Frank,5,speaker,1,False,none,simple_component_agent,2124.989528417669,10624.947642088346,New
152,1774,2023-02-23,South,Tablet,Charlie,9,"display, battery",2,False,none,simple_component_agent,19307.764097346702,139015.90150089626,New
153,1679,2023-02-23,East,Monitor,Frank,2,"panel, stand, cable",3,False,none,general_component_agent,14417.231872341874,28834.463744683748,New
154,1356,2023-02-23,West,Laptop,Frank,3,"processor, ram, ssd, battery",4,False,none,general_component_agent,68637.85209392385,205913.55628177157,Returning
155,1065,2023-02-23,East,Mobile,Eva,4,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31035.043576041895,124140.17430416758,New
156,1278,2023-02-23,East,Tablet,Eva,8,"display, battery",2,False,none,simple_component_agent,20728.766757020396,132664.10724493055,Returning
157,1039,2023-02-24,West,Tablet,David,8,"display, battery",2,False,none,simple_component_agent,19260.957738597805,123270.12952702596,Returning
158,1884,2023-02-25,West,Mobile,Eva,2,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27799.25954481977,55598.51908963954,New
159,1866,2023-02-25,North,Tablet,Bob,8,"display, battery",2,False,none,simple_component_agent,20529.585025862038,131389.34416551705,Returning
160,1585,2023-02-26,South,Headphones,Frank,6,speaker,1,False,none,simple_component_agent,1851.330344875506,11107.982069253036,New
161,1645,2023-02-27,West,Mobile,Frank,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,30470.955049375985,91412.86514812795,Returning
162,1357,2023-02-27,North,Monitor,Frank,3,"panel, stand, cable",3,False,none,general_component_agent,15580.26638416893,46740.79915250679,New
163,1403,2023-02-27,East,Headphones,Bob,2,speaker,1,False,none,simple_component_agent,2080.2445985577806,4160.489197115561,Returning
164,1656,2023-02-27,East,Mobile,Frank,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,31520.832663957583,94562.49799187275,New
165,1445,2023-02-27,South,Monitor,Eva,5,"panel, stand, cable",3,False,none,general_component_agent,16118.578264696996,80592.89132348498,New
166,1437,2023-02-27,South,Headphones,Frank,2,speaker,1,False,none,simple_component_agent,1999.9835967859153,3999.9671935718306,Returning
167,1031,2023-02-28,North,Monitor,Eva,2,"panel, stand, cable",3,False,none,general_component_agent,15690.747568588713,31381.495137177426,Returning
168,1414,2023-03-01,North,Headphones,David,7,speaker,1,False,none,simple_component_agent,2047.6690941463346,5016.78928065852,New
169,1263,2023-03-01,West,Headphones,Eva,8,speaker,1,False,none,simple_component_agent,1874.6559759190732,10498.073465146808,Returning
170,1871,2023-03-02,North,Mobile,Charlie,3,"display, battery, camera, chipset, body",5,True,rising,trend_analyzer,27154.13786921645,57023.68952535455,Returning
